ID,Source PDF,Text Chunk,Relevant to UPSC,GS Paper,Syllabus Topic,Cruz
UPSC_0000_20260213,Bollywood-Town-February-2026 (2).pdf,YEARS OF SUCCESS 10 10 2015 - 2025 a Spot Communications initiative Volume 11 Issue 07 February 2026 www.bollywoodtown.in 40/- p12 Movie Review p31 Junglee Pictures collaborates with writer director Raj Kumar Gupta ‘Border 2' continues box-ofﬁce dominance p08 CONTENTS www.bollywoodtown.in COVER STORY: p16 p32 FASHION & LIFESTYLE p38 STAR FORECAST Border 2 continues box ofﬁce dominance p08 It's a w...,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0001_20260213,Bollywood-Town-February-2026 (2).pdf,"/bollywoodtownindia +91 9892001547 mumbai@bollywoodtown.in Head Ofce: 27, Ekta CHS Ltd, DR-3, Ram Mandir Road, Goregaon West, Mumbai-400104, India Branch Ofce: Laxmi Nagar, New Delhi-110092, India 2015 - 2025 NOW ON STANDS PRINT ONLINE SOCIAL EVENTS www.bollywoodtown.in 14 • BOLLYWOOD TOWN • February 2026 AFTER the theatrical release of Bihu Attack, the cast and ﬁlmmakers of the ﬁlm visited an I...",False,Not Applicable,Not Applicable,Not Applicable
UPSC_0002_20260213,Bollywood-Town-February-2026 (2).pdf,"to reconstruct the truth in real time. For Pratt, the ﬁlmmaking process itself mirrored the intensity and scale of the story being told. “This ﬁlm is unlike anything I've done before,” says Pratt. “We had one camera on me the whole time, and we were doing 40- minute or 50-minute takes. Then all the evidence that in the story is provided for the trial — what the ﬁlm calls 'the LA Municipal Cloud' —...",False,Not Applicable,Not Applicable,Not Applicable
UPSC_0003_20260213,Bollywood-Town-February-2026 (2).pdf,the team as Border 2 gears up to hit the big screens. -BTNN Nidhi Dutta shares an unseen photo of team Border 2 27 • BOLLYWOOD TOWN • February 2026 www.bollywoodtown.in 28 • BOLLYWOOD TOWN • February 2026 www.bollywoodtown.in There are few movies that have won the heart of viewers and left a strong impression on their minds. One of them are 'Bahubali' which prompted ﬁlm makers to rethink the use o...,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0004_20260213,Bollywood-Town-February-2026 (2).pdf,"air, or water. Since the story is based on the historical incident of the 1971 war, there is no need to discuss the climax. Actor Sunny Deol is the heart and soul of the ﬁlm. Sunny Deol, an actor, is the ﬁlm's main character. We can hear the applause and whistles in the theater because of his exceptional performance, particularly during the action scenes. Another draw of the movie is Varun Dhawan....",False,Not Applicable,Not Applicable,Not Applicable
UPSC_0005_20260213,Bollywood-Town-February-2026 (2).pdf,"her success. She further said, ""I am not married yet, but I will get married in the future. My career is going well; I am getting success; I have a name and some fame too—not too much, but I am satisﬁed."" She is happy and content and said, ""At least whatever I am doing is clean and honest, and I am very proud of what I am doing. I have peace and happiness as well."" And she prioritizes her me-time ...",False,Not Applicable,Not Applicable,Not Applicable
UPSC_0005_20260213,Bollywood-Town-February-2026 (2).pdf,"her success. She further said, ""I am not married yet, but I will get married in the future. My career is going well; I am getting success; I have a name and some fame too—not too much, but I am satisﬁed."" She is happy and content and said, ""At least whatever I am doing is clean and honest, and I am very proud of what I am doing. I have peace and happiness as well."" And she prioritizes her me-time ...",False,Not Applicable,Not Applicable,Not Applicable
UPSC_0005_20260213,Bollywood-Town-February-2026 (2).pdf,"her success. She further said, ""I am not married yet, but I will get married in the future. My career is going well; I am getting success; I have a name and some fame too—not too much, but I am satisﬁed."" She is happy and content and said, ""At least whatever I am doing is clean and honest, and I am very proud of what I am doing. I have peace and happiness as well."" And she prioritizes her me-time ...",False,Not Applicable,Not Applicable,Not Applicable
UPSC_0006_20260213,TH Delhi 04-02-2026 (1) (1).pdf,"A ND-NDE CM YK WEDNESDAY February 4, 2026 DELHI CITY EDITION 20 Pages ₹ 12.00 www.thehindu.com Printed at » Chennai » Coimbatore » Bengaluru » Hyderabad » Madurai » Noida » Visakhapatnam » Thiruvananthapuram » Kochi » Vijayawada » Mangaluru » Tiruchirapalli » Kolkata » Hubballi » Mohali » Malappuram » Mumbai » Lucknow » Cuttack » Patna Vol. 16  No. 29 Regd. DL(ND)-11/6110/2006-07-08 RNI No. UPENG...",True,GS2,"Separation of powers between various organs, dispute redressal mechanisms and institutions","The Karnataka Assembly's resolution against the Viksit Bharat-Guarantee for Rozgar and Ajeevika Mission (Gramin) Act, 2025, highlights the ongoing tension between state and central governments in India. This development is significant as it raises questions about federalism and the balance of power between the Centre and the states. The resolution argues that the new Act undermines the decentralization of power and imposes financial burdens on the state, challenging the constitutional framework of governance. This situation provides a case study for examining the implications of central policies on state autonomy and the role of state legislatures in safeguarding regional interests."
UPSC_0006_20260213,TH Delhi 04-02-2026 (1) (1).pdf,"A ND-NDE CM YK WEDNESDAY February 4, 2026 DELHI CITY EDITION 20 Pages ₹ 12.00 www.thehindu.com Printed at » Chennai » Coimbatore » Bengaluru » Hyderabad » Madurai » Noida » Visakhapatnam » Thiruvananthapuram » Kochi » Vijayawada » Mangaluru » Tiruchirapalli » Kolkata » Hubballi » Mohali » Malappuram » Mumbai » Lucknow » Cuttack » Patna Vol. 16  No. 29 Regd. DL(ND)-11/6110/2006-07-08 RNI No. UPENG...",True,GS3,"Effects of liberalization on the economy, changes in industrial policy and their effects on industrial growth","The trade deal between India and the U.S., which reduces tariffs on Indian exports, is a pivotal development in international trade relations. This agreement, excluding sensitive sectors like agriculture and dairy, reflects India's strategic economic diplomacy to protect domestic interests while enhancing export opportunities. The reduction of tariffs is expected to benefit labor-intensive sectors, potentially boosting India's industrial growth and export competitiveness. This aligns with the broader theme of liberalization and its impact on the Indian economy, providing a contemporary context to analyze the effects of international trade policies on domestic economic development."
UPSC_0006_20260213,TH Delhi 04-02-2026 (1) (1).pdf,"A ND-NDE CM YK WEDNESDAY February 4, 2026 DELHI CITY EDITION 20 Pages ₹ 12.00 www.thehindu.com Printed at » Chennai » Coimbatore » Bengaluru » Hyderabad » Madurai » Noida » Visakhapatnam » Thiruvananthapuram » Kochi » Vijayawada » Mangaluru » Tiruchirapalli » Kolkata » Hubballi » Mohali » Malappuram » Mumbai » Lucknow » Cuttack » Patna Vol. 16  No. 29 Regd. DL(ND)-11/6110/2006-07-08 RNI No. UPENG...",False,Not Applicable,Not Applicable,Not Applicable
