ID,Source PDF,Text Chunk,Chunk Word Count,Chunk Char Count,Relevant to UPSC,GS Paper,Syllabus Topic,Crux
UPSC_0000_0_20260213,Bollywood-Town-February-2026 (4).pdf,"Volume 11 Issue 07 February 2026 40/- a Spot Communications initiative www.bollywoodtown.in YEARS OF SUCCESS 2015 - 2025 1010 Movie Review p31 Junglee Pictures collaborates with writer director Raj Kumar Gupta p12 ‘Border 2' continues box-ofﬁce dominance p08 www.bollywoodtown.in CONTENTS COVER STORY: p16 FASHION & LIFESTYLE p32 SMALL SCREEN p34 Border 2 continues box ofﬁce dominance p08 STAR FORECAST p38 It's a wrap! Mrunal Thakur ﬁnishes shooting for high-octane action drama, Dacoit p06 Movie Reviews p31 Chris Pratt says 'Mercy' is ""unlike anything I have done before"" p21 Shahid Kapoor channels Michael Jackson–inspired swagger in 'Aashiqon Ki Colony' from O'Romeo p23 Junglee Pictures collaborates with writer director Raj Kumar Gupta p12 From the publisher's desk Editor : Tarakant D. Dwivedi ‘Akela’ Dear Readers, Editor-In-Chief : Yogesh Mishra Sr. Columnist : Girish Wankhede The year 2025 concluded spectacularly with the huge success of Spl. Correspondent : Dr. Amit Kr",148,984,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0001_0_20260213,Bollywood-Town-February-2026 (4).pdf,". Correspondent : Dr. Amit Kr. Pandey (Delhi) Dhurandhar, which persisted in January as well. However, Border 2 Sr. Columnist : Shrinivas Guruji maintained the heat at the box office prior to the gloom. This way, the first Special Photographer : Vickky Idnaani month of the new year has not merely continued the success trip but also Graphic Designer : Punit Upadhyay given many positive signs for the films to be released this year. Sr. Photographer : Raju Asrani COO : Pankaj Jain Movies released in January are Ikkis, Azad Bharath, Rahu Ketu, Happy Executive Advisor : Vivek GautamPatel: Khatarnak Jasoon, Bihu Attack, One Two Cha Cha Chaa, Border 2, Gandhi Talks, Mayasabha, and Mardaani 3. Out of them, only Border 2 has Subscription created wonders at the box office. Mardaani 2 was released on the 2nd last Email: btown.subscription@gmail.com day of the month, so the exact impact will be seen in the first week of February",157,930,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0002_0_20260213,Bollywood-Town-February-2026 (4).pdf,". Let's hope for the best for this Rani Mukerji-starrer 3rd installment Advertising Sales of the Mardaani series. Mumbai Movies slated to release in the month of February are Vadh 2, Bhabiji 27, Ekta, DR-3, Ram Mandir Road, Ghar Par Hain! Fun on the Run, Tu Ya Main, O' Romeo, Assi, Do Deewane Goregaon (W), Mumbai- 400104. India Seher Mein, The Kerala Story 2: Goes Beyond, etc. The expectations from +91 9892001547 Shahid Kapoor's starrer O'Romeo are really very high since its trailer is Email: mumbai@bollywoodtown.in creating a buzz. New Delhi 201, Saraswati Complex, B-Block, As usual, we will keep on updating latest news, views and gossip on film, Laxmi Nagar, New Delhi- 110092. India TV and fashion industry so; keep reading and keep loving Bollywood Town",127,765,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0003_0_20260213,Bollywood-Town-February-2026 (4).pdf,". India TV and fashion industry so; keep reading and keep loving Bollywood Town. Email: btown.delhi@gmail.com Pune Regards, Email: btown.pune@gmail.com Sharmila Yogesh Mishra Bangalore Email: btown.bangalore@gmail.com Hyderabad Email: btown.hyderabad@gmail.com Lucknow Email: btown.lucknow@gmail.com Kolkata Email: btown.kolkata@gmail.com Owner & Publisher: Sharmila Mishra Printed at: Somani Printing Press, 7, Udyog Bhavan, Sharma Indl. Estate, Goregaon (E), Mumbai -400063. India. Published at: Spot Communications, 27, Ekta CHS, DR-3, MMRDA Complex, Ram Mandir Road, Goregaon (W), Mumbai-400104, India. Tel.: +91-9820392284 Editor: Tarakant Devnarayan Dwivedi RNI NO.: MAHENG/2015/64424 Vol. 11, Issue 07, Pages 40, Mumbai, February 2026 Bollywood Town takes no responsibility for unsolicited photographs or material. All photographs, unless otherwise indicated, are used for illustrations / representations only",113,916,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0004_0_20260213,Bollywood-Town-February-2026 (4).pdf,". All photographs, unless otherwise indicated, are used for illustrations / representations only. YEARS OF SUCCESS Editor: Tarakant Devnarayan Dwivedi, (Responsible 2015 - 2025 for the selection of news under PRB Act). 1010 Reproduction in whole or in part without the written permission of the publisher is prohibited. NEWS | VIEWS | GOSSIP www.bollywoodtown.in /bollywoodtownindia /bollywoodtown /BollywoodTown /bollywoodtownindia /_bollywoodtown It's a wrap! Mrunal Thakur ﬁnishes shooting for high-octane action drama, Dacoit ADIVI Sesh and Mrunal Thakur's actress shared images and a short produced by Suniel Narang, and much-awaited bilingual action drama, video from the sets with her team, presented by Annapurna Studios. Shot Dacoit, made a thunderous ﬁrst referring them as the 'BEST TEAM simultaneously in Hindi and Telugu, impression with its hard-hitting teaser, ❤️ '",126,880,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0005_0_20260213,Bollywood-Town-February-2026 (4).pdf,". The ﬁlm also stars Anurag the ﬁlm's story and screenplay have leaving audiences hooked by its raw Kashyap in a pivotal role, along with a been jointly crafted by Adivi Sesh and emotions and high-voltage intensity. lineup of striking performances that Shaneil Deo. Building on the excitement around promise an electrifying cinematic Dacoit is gearing up for a grand pan- the ﬁlm, Mrunal Thakur shared a experience. India theatrical release on 19th March special update with her fans as she Marking Shaneil Deo's directorial 2026, making a special arrival this announced the wrap of her schedule debut, this ambitious project is Gudi Padwa and extended Eid for Dacoit. Taking to social media, the produced by Supriya Yarlagadda, co- weekend",120,740,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0006_0_20260213,Bollywood-Town-February-2026 (4).pdf,". Taking to social media, the produced by Supriya Yarlagadda, co- weekend. -BTNN 06 • BOLLYWOOD TOWN • February 2026 www.bollywoodtown.in Border 2 continues box oﬃce dominance MARCHING ahead with unshakable momentum, 'Border 2' delivered a historic Day 4 performance on Republic Day, scripting a new benchmark for patriotic cinema at the box oﬃce. The ﬁlm recorded a massive ₹63.59 CR NBOC, marking the biggest Republic Day box oﬃce collection, earning a total of ₹193.48 CR NBOC within just four days. - Day 1 – ₹32.10 CR NBOC, - Day 2 – ₹40.59 CR NBOC, - Day 3 – ₹57.20 CR NBOC, - Day 4 – ₹63.59 CR NBOC, - Total – ₹193.48 CR NBOC With this phenomenal Republic Day surge, Border 2 has further cemented its position as a true box-oﬃce juggernaut, showcasing extraordinary audience love driven by emotion, pride, and spectacle. The holiday boost ampliﬁed the ﬁlm's already stellar run, pushing its cumulative total to staggering new heights and reinforcing its blockbuster status",165,979,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0007_0_20260213,Bollywood-Town-February-2026 (4).pdf,". Trade experts and exhibitors unanimously hail the ﬁlm's Republic Day performance as a landmark moment, predicting a long and dominant theatrical run ahead. -BTNN 08 • BOLLYWOOD TOWN • February 2026 www.bollywoodtown.in Playing Krishna was a gift to my parents: Rajniesh Duggall opportunity had come to me on its own. People give materialistic things to their parents, while I was getting a chance to play Krishna. What bigger gift could I give my parents than that?"" ""I called Nikhil immediately to tell him that I was doing it. Whatever the preparation is, let's start. At that time, my father was not well; he was undergoing dialysis. So I used to keep sending him BTS from the set, like pictures of me in my avatar as Krishnaji with my crown next to me. There were pigeons and rabbits on the set, and he would laugh seeing them. It made him really happy,"" he added",154,869,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0008_0_20260213,Bollywood-Town-February-2026 (4).pdf,". It made him really happy,"" he added. The entire show was supposed to be shot before it went on air, and unfortunately, Rajniesh's father passed away before that happened. ""I was aware that his health was deteriorating day by day. But he would still keep pepping me up, saying, 'I'm looking forward to your show. I'm waiting for it.' And that remains with me. I wish he had seen it, but I guess he saw it from there,"" he said. Host Dr. Sammeer comforted him by saying, ""Krishnaji must have decided that your father should come to him, and that you would be playing Lord Krishna for him. I am sure that would have been the case."" After completing his father's last rites, Rajniesh returned to Mumbai, where he RAJNIESH Duggall, who has He said, ""It was between 2018 and witnessed a divine vision. He shared, ""I went for a jog to clear my mind",156,842,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0009_0_20260213,Bollywood-Town-February-2026 (4).pdf,". He shared, ""I went for a jog to clear my mind. I was been a part of ﬁlms like 1920, Wajah 2019 when Nikhil Dwivedi, the sweating and went to a corner of a park Tum Ho, Dangerous Ishq, and Saira producer, called me and said that he was and sat there. Just as I closed my eyes, I Khan Case, among others, played the making a show for Colors and that he saw Krishnaji and Radharani in Seva role of Shri Krishna in Shrimad wanted me to play Krishnaji. So I asked, Kunj. Then I saw my dad in a healthy, Bhagwat Mahapuran. In the latest 'Why me?' He said, 'We've tested and radiant state. He had a vibrant smile and episode of The Vedas Speak, a podcast met a lot of people, but whenever I see was cleaning Krishnaji's feet in a thali. hosted by Dr. Sammeer Arora and your face, I see a calm aura. So I feel He turned back, looked at me, and smiled. produced by Ajinkya Jadhav's Paparazzi that you can play it really well.' I asked Entertainment, the actor shared that him to give me a day",195,985,False,Not Applicable,Not Applicable,Not Applicable
